"est_codigo","est_codigo_origem","est_ins_codigo","est_municipio","est_nome","est_altitude","est_dt_inst","est_dt_ult_atual","est_dt_inicio_ativ","est_dt_fim_ativ","est_rua","est_cep","est_fone","est_localizacao","est_comentario","est_tipo_estacao","est_modelo","est_geom_sad69","est_geom"
31,31831,1,2304905,"Groaíras",108,"2005-02-06",,"2005-02-06","2013-12-01",,,,,,3,1,"01010000A0C3100000255BB0055B3044C048E17A14AE470FC00000000000000000","01010000A0E6100000255BB0055B3044C048E17A14AE470FC00000000000000000"
32,31836,1,2305803,"Ipu - Sede",238,"2004-08-17",,"2005-02-06",,,,,,,3,1,"01010000A0C3100000329D36D0695B44C0DA814E1BE8B411C00000000000000000","01010000A0E6100000329D36D0695B44C0DA814E1BE8B411C00000000000000000"
33,31838,1,2306405,"Itapipoca - Quandu",304,"2002-01-08",,"2002-01-08","2015-07-09",,,,,,3,1,"01010000A0C3100000255BB0055BD043C04BFC62C92F960CC00000000000000000","01010000A0E6100000255BB0055BD043C04BFC62C92F960CC00000000000000000"
34,31843,1,2308203,"Meruoca",801,"2004-05-19",,"2005-02-06","2015-03-09",,,,,,3,1,"01010000A0C310000093C3D4E5F63F44C0CFDEBC9A78560CC00000000000000000","01010000A0E610000093C3D4E5F63F44C0CFDEBC9A78560CC00000000000000000"
35,"B851DCF6",1,2312205,"Santa Quitéria",199,"2006-01-01",,"2006-01-01",,,,,"Fazenda Paula Rodrigues – SDA","Antigo CO: 31850; B851AA66; B851DCF6",1,1,"01010000A0C310000066D069039D1644C0B9277DD2273D11C00000000000000000","01010000A0E610000066D069039D1644C0B9277DD2273D11C00000000000000000"
36,31852,1,2312304,"São Benedito - Sede",889,"2004-08-17",,"2008-05-20","2019-04-04","Estrada Abrigo-Santos Reis, São Benedito, CE","62370-000",,,,3,1,"01010000A0C3100000CE62C92F967444C016B73FC8501910C00000000000000000","01010000A0E6100000CE62C92F967444C016B73FC8501910C00000000000000000"
37,31854,1,2313609,"Ubajara",711,"2004-08-16",,"2006-01-01","2019-01-28","Ubajara, CE",,,,,3,1,"01010000A0C3100000D7A3703D0A8F44C06666666666E60EC00000000000000000","01010000A0E6100000D7A3703D0A8F44C06666666666E60EC00000000000000000"
38,"B850F8E0",1,2314102,"Viçosa do Ceará",374,"2004-08-28",,"2008-11-07",,,,,"Padre Viieira - Fazenda Niterói","Antigo código de origem: 32332; SCD – GOES",3,1,"01010000A0C3100000457698BADCAE44C05974DA40A78D0CC00000000000000000","01010000A0E6100000457698BADCAE44C05974DA40A78D0CC00000000000000000"
39,31871,1,2310704,"Pentecoste",63,"2005-04-15",,"2009-06-29","2019-05-29",,,,"DNOCS",,3,1,"01010000A0C31000007312F0CDABA143C030184B7EB1640EC00000000000000000","01010000A0E61000007312F0CDABA143C030184B7EB1640EC00000000000000000"
40,31834,1,2305407,"Icó",168,"2004-06-16",,"2005-02-06",,,,,"DNOCS - LIMA CAMPOS",,3,1,"01010000A0C31000001B840C951D7643C0724602BE79B519C00000000000000000","01010000A0E61000001B840C951D7643C0724602BE79B519C00000000000000000"
